Pitcher,AU06,AU07,AU12,PROBINV,Ranking
LS,.339814991840141,.20912691085301,.295099375827062,50,2
FLIPR,.212792236912261,.0545080439056126,.136546411363294,40,4
BubblePop,.095569983902459,-.0676879172179741,.104913594355857,15,7
RecognEyes,.0733632088757271,-.0154177977963304,.183364370662798,70,1
HOTIDY,.0995211171223786,.0239654120521758,.125652148435919,30,5
FitPoint,.0542106375790391,-.0107146402689629,.0614986203755643,55,3
SOLON,.37488285639165,.113110935685716,.348220771490463,50,6
LS2,.160083617301975,.110649980609507,.280931326497928,15,4
FLIPR2,-.042776565144157,-.0390853771625834,.118781609053848,80,1
BubblePop2,.141139793552708,-.104559209856277,.0236910779398805,0,7
RecognEyes2,-.072430116485005,.0343155609109215,-.0520038748424,50,3
HOTIDY2,.116051525882982,.00344368503255852,.0206208669170227,40,2
FitPoint2,-.008767557550696,.0566907315083949,.0868488055261364,20,6
SOLON2,.141640671803539,.0299006314187962,.241212511985491,20,5
LS3,.216975106397577,.125229263325936,.293754757139743,60,1
FLIPR3,.111683527,.02782763,.505931024,20,4
BubblePop3,.0154291978698961,.225421859627834,.0127208584223509,0,6
RecognEyes3,.0577667652253397,.0624692414867817,.0638962615007496,50,3
HOTIDY3,.0736166590970333,.0417132202273649,.19466622112835,60,2
FitPoint3,.213281432221047,.0811584838709861,.305387578328804,20,7
SOLON3,.217750335628689,.0814449105202928,.306097253243396,20,5
tAIste,.170541459,-.02129813,.190217214,30,6
CW,.041886384,.068734262,.064652612,20,7
SmArt,.078732203,.006569391,.220913155,40,3
StudentFood,.057215135,.021759011,.133367829,50,4
wAIste,.164700994,-.00406893,.285720479,50,5
Chattern,.143685272,.042727856,.188287201,50,1
FindIT,.016470275,.043030408,.052161469,45,2
tAIste2,.275196733,.26119746,.366259099,5,6
CW2,.1031271,.130529677,.16599332,5,5
SmArt2,.23162218,.121562121,.333991506,15,1
StudentFood2,.025279516,.058793625,.244563981,15,2
wAIste2,.208397841,.030784131,.340760666,5,4
Chattern2,.151519043,.182375567,.371602506,5,3
FindIT2,.22511914,.061997889,.240806234,5,7
tAIste3,.479397379,.081884109,.361686108,10,7
CW3,.327125915,.095162271,.130541859,50,5
SmArt3,.598173027,.057432622,.45450198,10,3
StudentFood3,.176399453,.105311574,.268170039,5,6
wAIste3,.416932738,.091798716,.413404576,30,4
Chattern3,.444132415,.018468596,.494789026,50,1
FindIT3,.341301697,.078243166,.337842401,30,2
Ar_T_ficial,.18976194,.138098405,.269025287,30,3
Recipe_Me,.406538961,.197033314,.46932367,20,4
Salix,.249109536,-.010083726,.248472974,60,1
Peech,.224951785,.173006031,.247729271,70,2
HoodFood,-.066532613,-.083268861,.01833335,0,5
LockUp,.176435108,.073787372,.151911381,10,6
Ar_T_ficial2,.150771736,.079287638,.281886444,60,2
Recipe_Me2,.318010954,.188171981,.388475663,10,4
Salix2,.198829674,-.02894467,.226206595,90,1
Peech2,.242070402,.153050799,.309189038,20,3
HoodFood2,.178847327,.118712136,.091083987,0,5
LockUp2,.278296335,.137940956,.168536105,0,6
Ar_T_ficial3,.077917109,-.054366591,.124542304,10,2
Recipe_Me3,.174702685,.227416066,.34970825,10,4
Salix3,.135686036,.036762145,.14521264,60,1
Peech3,.264514842,.218532827,.251048566,5,3
HoodFood3,.11372455,-.014995609,-.038895851,5,5
LockUp3,.161221928,.097987194,.176727343,10,6
Ziggurat,.374661118,.076800431,.172319923,65,2
PREA,.147549638,.079482488,.155256625,45,3
YB,.22291476,.32272661,.167394701,40,5
Whitebox,.169746727,.123231935,.296936582,75,1
SC,.294870318,.399514295,.236030864,30,4
Ziggurat2,.187253495,-.039950349,.004945754,10,4
PREA2,-.059142315,-.025532847,.065692062,70,1
YB2,.163679971,.34786379,.144184672,10,5
Whitebox2,-.02561439,.158083672,.0932933,60,3
SC2,.115128302,.159077161,.052837518,50,2
Ziggurat3,.390939572,.116925501,.382878137,40,3
PREA3,.160148563,.297750487,.253820422,80,1
YB3,.277881268,.352732273,.468006241,10,5
Whitebox,.16217376,.100680207,.484292404,80,2
SC3,.247071086,.224460373,.37163439,30,4
